tweet_id,favorite_count,retweet_count,retweet_status,url
668975677807423489,1386,641,Original tweet,https://t.co/LqAMlFVBoY
668967877119254528,161,25,Original tweet,5
668960084974809088,757,263,Original tweet,https://t.co/952hUV6RiK
668955713004314625,300,77,Original tweet,https://t.co/Dmy2mY2Qj5
668932921458302977,284,63,Original tweet,https://t.co/rcrKkL7eB6
668902994700836864,338,107,Original tweet,https://t.co/UqCvpSgMJe
668892474547511297,422,164,Original tweet,https://t.co/HyDpTU5Jhj
668872652652679168,566,322,Original tweet,https://t.co/up0MHRxelf
668852170888998912,479,184,Original tweet,https://t.co/OmxouCZ8IY
668826086256599040,467,150,Original tweet,https://t.co/Ko7eCsFpnI
668815180734689280,610,291,Original tweet,https://t.co/IGmVbz07tZ
668779399630725120,749,409,Original tweet,https://t.co/YVAJgWHzPW
668655139528511488,562,233,Original tweet,https://t.co/mwnBN6ZkPt
668645506898350081,962,588,Original tweet,https://t.co/70X1TIXn38
668643542311546881,939,576,Original tweet,https://t.co/IiSdmhkC5N
668641109086707712,1145,573,Original tweet,https://t.co/pKJK23j0QZ
668636665813057536,1114,528,Original tweet,https://t.co/EM5fDykrJg
668633411083464705,3024,1788,Original tweet,https://t.co/k8P6FZlzAG
668631377374486528,763,349,Original tweet,https://t.co/fvVNScw8VH
668627278264475648,341,123,Original tweet,https://t.co/3FuNbzyPwo
668625577880875008,417,140,Original tweet,https://t.co/0zBycaxyvs
668623201287675904,1551,851,Original tweet,https://t.co/TIhVKEIPqj
668620235289837568,211,45,Original tweet,https://t.co/AGyogHtmXx
668614819948453888,654,341,Original tweet,https://t.co/2Su7gmsnZm
668587383441514497,1760,1174,Original tweet,https://t.co/roqIxCvEB3
668567822092664832,265,62,Original tweet,https://t.co/81kzPgqjQ3
668544745690562560,561,250,Original tweet,https://t.co/ALNyYuGui7
668542336805281792,497,231,Original tweet,https://t.co/VvYVbsi6c3
668537837512433665,265,79,Original tweet,https://t.co/stEodX9Aba
668528771708952576,496,242,Original tweet,https://t.co/zpdBQCcYgW
668507509523615744,345,116,Original tweet,https://t.co/HvNg9JWxFt
668496999348633600,436,146,Original tweet,https://t.co/Edy7B5vOp2
668484198282485761,453,253,Original tweet,https://t.co/uXgmECGYEB
668480044826800133,491,162,Original tweet,https://t.co/be3zMW0Qj5
668466899341221888,936,560,Original tweet,https://t.co/YOHe6lf09m
668297328638447616,656,319,Original tweet,https://t.co/P8bivfp5sU
668291999406125056,264,34,Original tweet,https://t.co/fM0KXns7Or
668286279830867968,535,149,Original tweet,https://t.co/C8U6cxI1Jc
668274247790391296,886,248,Original tweet,https://t.co/3j9kZRcpVB
668268907921326080,592,261,Original tweet,https://t.co/aeZykWwiJN
668256321989451776,1385,667,Original tweet,https://t.co/L6qAEV5PAd
668248472370458624,1056,523,Original tweet,https://t.co/1XYRh8N00K
668237644992782336,6614,3100,Original tweet,https://t.co/TnSRDqYO5i
668226093875376128,323,115,Original tweet,https://t.co/jWVwSppaa2
668221241640230912,537,215,Original tweet,https://t.co/4pw1QQ6udh
668204964695683073,586,206,Original tweet,https://t.co/4ilfcR5SlK
668190681446379520,696,210,Original tweet,https://t.co/2wm0POA9N2
668171859951755264,525,208,Original tweet,https://t.co/XpseHBlAAb
668154635664932864,522,336,Original tweet,https://t.co/79sHR36NsI
668142349051129856,592,306,Original tweet,https://t.co/DnhUw0aBM2
